"x","y","island"
144.83,13.621,"GUA"
144.83,13.617,"GUA"
144.83,13.612,"GUA"
144.83,13.608,"GUA"
144.83,13.603,"GUA"
144.83,13.599,"GUA"
144.83,13.595,"GUA"
144.83,13.59,"GUA"
144.83,13.586,"GUA"
144.83,13.582,"GUA"
144.83,13.579,"GUA"
144.83,13.575,"GUA"
144.82,13.572,"GUA"
144.82,13.569,"GUA"
144.82,13.565,"GUA"
144.81,13.562,"GUA"
144.81,13.559,"GUA"
144.81,13.557,"GUA"
144.81,13.553,"GUA"
144.81,13.549,"GUA"
144.81,13.545,"GUA"
144.8,13.543,"GUA"
144.8,13.539,"GUA"
144.8,13.535,"GUA"
144.8,13.531,"GUA"
144.8,13.527,"GUA"
144.8,13.523,"GUA"
144.8,13.52,"GUA"
144.8,13.519,"GUA"
144.8,13.516,"GUA"
144.8,13.514,"GUA"
144.8,13.513,"GUA"
144.79,13.512,"GUA"
144.79,13.511,"GUA"
144.79,13.511,"GUA"
144.78,13.51,"GUA"
144.78,13.509,"GUA"
144.78,13.508,"GUA"
144.77,13.505,"GUA"
144.77,13.501,"GUA"
144.77,13.497,"GUA"
144.77,13.493,"GUA"
144.77,13.49,"GUA"
144.76,13.487,"GUA"
144.76,13.485,"GUA"
144.75,13.484,"GUA"
144.75,13.485,"GUA"
144.75,13.485,"GUA"
144.74,13.486,"GUA"
144.74,13.484,"GUA"
144.73,13.484,"GUA"
144.73,13.483,"GUA"
144.73,13.482,"GUA"
144.72,13.482,"GUA"
144.72,13.481,"GUA"
144.72,13.477,"GUA"
144.71,13.476,"GUA"
144.71,13.478,"GUA"
144.71,13.48,"GUA"
144.7,13.482,"GUA"
144.7,13.48,"GUA"
144.7,13.477,"GUA"
144.69,13.474,"GUA"
144.69,13.471,"GUA"
144.69,13.471,"GUA"
144.69,13.47,"GUA"
144.68,13.468,"GUA"
144.68,13.466,"GUA"
144.67,13.465,"GUA"
144.67,13.465,"GUA"
144.67,13.466,"GUA"
144.66,13.467,"GUA"
